FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
K2P,81,3,11,3,80,1,0,8,85,45.4166,-75.6904
K2S,67,5,8,0,100,1,20,2,10,45.2501,-75.9161
K2T,66,3,10,1,50,1,2,1,6,45.317,-75.9367
K4A,42,5,6,73,1,3,0,4,0,45.4697,-75.4715
K6A,41,3,5,55,51,47,50,44,47,45.6001,-74.616
K6H,61,3.3,7.7,33,65.7,52.3,17,5,8.3,45.0565,-74.6852
K6V,24,5,9,0,7,5,5,0,0,44.6573,-75.7146
K7A,65,4,9,84,12,95,71,0,8,44.9001,-76.0161
K7C,50,5,4,82,82,88,97,84,84,45.1334,-76.1494
K7H,59.3,4,7,18,62,20.3,18,7.7,24,44.9001,-76.2494
K7K,41,3,6,50,85,60,61,49,53,44.2569,-76.4717
K7L,74,3,10,90,0,75,75,0,0,44.2955,-76.428
K7N,48,4,7,76,0,74,50,16,21,44.2224,-76.65
K7P,60,4,9.5,50,40,51.5,42.5,14.5,24.5,44.2814,-76.6111
K7R,41,6,9,26,14,51,32,12,15,44.2501,-76.9494
K7V,35,3,9,87,86,88,87,85,92,45.4668,-76.6827
K8A,38.5,2,4.5,5.5,63,48.5,24.5,35.5,46,45.7466,-77.2047
K8H,51,2,7,0,2,0,0,0,0,45.8945,-77.2801
K8N,61.5,2,7.5,2,83,16,25.5,12,38,44.1735,-77.3684
K8P,41,1,5,100,44,67,55,54,55,44.1665,-77.4037
